"city (STRING)","areaCode (STRING)","country (STRING)","region (STRING)","locId (STRING)","longitude (STRING)","postalCode (STRING)","metroCode (STRING)","latitude (STRING)","author (STRING)","year (STRING)","month (STRING)","day (STRING)","hour (STRING)","minute (STRING)","text (STRING)","hashtags (STRING)","search_term (STRING)","id (STRING)"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","AYY__BELLA","2013","3","17","18","20","RT @TaylorCasper1: If you don't act like a man, don't expect me to fuck you like you are one (;","","fuck","-1474125789943596523"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","wakeupblazeup","2013","3","17","18","20","RT @AStateOfChern: Major Lazer. HOLY FUCK.","","fuck","9156285360278138986"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","KallDrogo123","2013","3","17","18","20","RT @kinky_dory: @KallDrogo123 mmm fuck yes I will do that ;) please","","fuck","-2911460590293065646"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","HazenMcCartney","2013","3","17","18","20","Fuck round I'm done with all this @WakaFlockaBSM bull shit he don't follow back","","fuck","-6536809361843243436"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","You_Aint_btl","2013","3","17","18","20","I know love me and I know your down cause we fuck every time I'm in town","","fuck","-4368678642081571811"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","TeamHemmo96","2013","3","17","18","20","Fuck this girl won't stop texting me even when I don't answer","","fuck","429955619173702682"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","PLURForDays","2013","3","17","18","20","RT @AStateOfChern: Major Lazer. HOLY FUCK.","","fuck","1976605217641795665"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","kinky_dory","2013","3","17","18","19","@KallDrogo123 mmm fuck yes I will do that ;) please","","fuck","3236132797810696859"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","jjames412","2013","3","17","18","19","@Shaunwan7 fuck u fag boi","","fuck","8840527689900904961"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","AStateOfChern","2013","3","17","18","19","Major Lazer. HOLY FUCK.","","fuck","6270330124795744187"
